Firm Name,Check Profile: (Lead [$2M+] / Micro-fund [$1M SAFE]),Prestige Score (1-10),Relevance Score (1-10),Weighted FIT Score (1-100),Key GP/Partner,Recent Evidence,Fit Rationale
S Capital,Lead [$2M+],8,8,80,Aya Peterburg,Scaled Run:ai and Pecan AI; actively hunting for the next UI automation layer.,Proven track record scaling AI infra companies that abstract heavy backend complexity.
10D,Lead [$2M+],8,8,80,Yahal Zilka,Closed seed checks in deep tech automation and enterprise ML workflows.,"Broad enterprise focus with an increasing mandate for the ""AI application layer"" infrastructure."
Fusion VC,Micro-fund [$1M SAFE],8,8,80,Guy Katsovich,Pre-seed/Seed platform backing multiple GenAI workflow startups.,Excellent high-velocity micro-fund to fill out the round and leverage their vast US tech network.
JVP (Jerusalem VC),Lead [$2M+],10,7,79,Erel Margalit,Expanding from cyber/fintech into AI orchestration.,Relevant if Yono's infrastructure has a strong data governance or enterprise security angle.
Cyberstarts,Lead [$2M+],10,7,79,Gili Raanan,"Hyper-focused on cyber, expanding into AI Ops architectures.",Relevant if your agentic UI highly indexes on secure enterprise data handling.
Meron Capital,Micro-fund [$1M SAFE],7,8,77,Liron Azrielant,Highly active seed investors in B2B SaaS and data pipelines.,Fast-moving micro-fund that loves highly technical founders tackling legacy data structures.
Symbol,Micro-fund [$1M SAFE],7,8,77,Yuval Ariav,Operator-led fund backing technical founders in developer tools.,Great syndicate addition; they understand the engineering overhead of building AI wrappers internally.
Cardumen Capital,Micro-fund [$1M SAFE],7,8,77,Gonzalo Martinez de Azagra,Deep-tech fund looking at AI middleware and orchestration layers.,Provides a strong bridge to European enterprise pilots.
lool ventures,Lead [$2M+],8,7,73,Yaniv Golan,Seeded developer-focused PLG tools optimizing AI data flows.,"Champions product-led growth, aligning with a tool that empowers product teams over internal engineering."
SOMV,Lead [$2M+],8,7,73,Pinchas Buchris,Continues to fund deep tech and data architecture for legacy enterprises.,Focuses on robust infrastructure capable of handling the transformation of rigid enterprise systems.
Blumberg Capital,Lead [$2M+],8,7,73,Yodfat Harel Buchris,Heavy enterprise software focus; looking at how AI optimizes operational drag.,Targets solutions that directly impact a SaaS company's bottom line and user retention.
UpWest,Lead [$2M+],8,7,73,Shuly Galili,Focuses on Israeli founders targeting the US market from day one.,Excellent bridge fund to crack US-based SaaS companies as early design partners.
Ibex Investors,Lead [$2M+],8,7,73,Gal Gitter,Crossover fund that actively plays in Israeli seed-stage enterprise software.,Strong structural backers who can follow on aggressively in Series A.
Fresh.Fund,Micro-fund [$1M SAFE],7,7,70,Zaki Djemal,Early-stage generalists with a recent appetite for AI application tools.,Good complementary check moving quickly on strong technical teams.
Mindset Ventures,Micro-fund [$1M SAFE],7,7,70,Jules Miller,US/Israel fund backing B2B SaaS evolution.,Strong US network for GTM support specifically in the B2B SaaS sector.
IN Venture,Lead [$2M+],7,7,70,Eitan Naor,Sumitomo's CVC in Israel; deep tech and enterprise software.,Offers immense corporate network leverage if you need legacy design partners.
PICO Venture Partners,Lead [$2M+],7,7,70,Elie Wurtman,Backs commerce and enterprise software upgrades.,"Solid generalist B2B investors, though AI infra is not their primary historical wedge."
Target Global (Israel),Lead [$2M+],7,7,70,Shmuel Chafets,Pan-European fund with heavy Israeli seed activity in SaaS.,Great for European SaaS GTM expansion.
AltaIR Capital,Micro-fund [$1M SAFE],7,7,70,Igor Ryabenkiy,Highly prolific seed/pre-seed generalists.,Write fast checks across all B2B SaaS verticals.
Oryzn Capital,Micro-fund [$1M SAFE],6,7,67,Erez Shachar,Backs early-stage enterprise automation.,"Focuses on workflow automation, making the agentic UI pitch highly digestible."
Flint Capital,Lead [$2M+],8,6,66,Sergey Gribov,Heavy B2B SaaS and cyber focus.,"Less pure-play AI infra, more focused on the overarching SaaS business model."
MoreVC,Lead [$2M+],8,6,66,Meir Ukeles,"Historically climate/agri, deploying into pure deep-tech and infra.",Valid if your backend infrastructure is heavily differentiated technologically.
Cerca Partners,Micro-fund [$1M SAFE],7,6,63,Assaf Shamia,Co-investment fund that follows strong leads in enterprise SaaS.,A plug-and-play check once you have your lead secured and terms set.
Firstime Ventures,Lead [$2M+],7,6,63,Jonathan Benartzi,"Focuses on climate and digital life, but backs broad SaaS platforms.",Will require a stronger pitch on how Yono improves end-user efficiency.
Sarona Partners,Micro-fund [$1M SAFE],6,6,60,Toot Shani,Accelerator and micro-fund backing general B2B software.,Best utilized to top off the round for strategic network access.
Crescendo,Lead [$2M+],6,6,60,Zvi Schechter,Mid-market B2B software focus.,"Tend to be more conservative, requiring more traction than a standard pre-revenue Seed."
Hanaco Ventures,Lead [$2M+],8,5,59,Pasha Romanovski,"Multi-stage, broad technology focus.",Often step in later at the A/B stage; less likely to lead a highly technical Seed without massive early ARR.
TAU Ventures,Micro-fund [$1M SAFE],7,5,56,Nimrod Cohen,University-backed fund investing in early student/alumni tech.,"Highly generalist, mostly leveraged for academic ecosystem networking."
Technion Drive,Micro-fund [$1M SAFE],7,5,56,Shuli Shwartz,Deep-tech accelerator/fund.,"Geared heavily toward hard-tech and hardware, less for pure SaaS UI layers."
iAngels,Micro-fund [$1M SAFE],7,5,56,Shelly Hod Moyal,Broad syndicate/platform investing across all sectors.,Better utilized for syndication rather than leading an infra round.
OurCrowd,Lead [$2M+],7,5,56,Jon Medved,Massive global equity crowdfunding platform.,Usually follow-on capital; process can be slow for an agile seed round.
YL Ventures,Lead [$2M+],9,4,55,Yoav Leitersdorf,Exclusively focused on pure-play Israeli cybersecurity.,Irrelevant unless Yono pivots strictly into AI prompt-security or DevSecOps.
O.G. Tech,Lead [$2M+],9,4,55,Roy Oron,Eyal Ofer's VC arm; focuses heavily on growth and mature tech.,Check sizes and stage focus are completely mismatched for a $4.5M Seed.
Maverick Ventures Israel,Micro-fund [$1M SAFE],7,4,55,Yaron Carni,Generalist B2B and consumer tech.,Rarely leads deeply technical AI infrastructure rounds.
BRM Group,Lead [$2M+],8,4,52,Eran Barkat,Historic fund heavily indexing on med-tech and mature software.,Not aligned with rapid 2025/2026 GenAI infrastructure deployment.
Red Dot Capital,Lead [$2M+],8,3,45,Yoram Oron,Early-growth stage (Series B+).,Too late-stage for Yono; strictly focused on scaling mature revenue.
aMoon,Lead [$2M+],10,1,37,Yair Schindel,Elite HealthTech and Life Sciences exclusively.,Zero relevance for B2B SaaS agentic UI.
Triventures,Lead [$2M+],8,1,31,Michal Geva,Pure-play MedTech and Digital Health.,Zero relevance for B2B SaaS agentic UI.
Pontifax,Lead [$2M+],8,1,31,Ran Nussbaum,Biotech and Pharma exclusively.,Zero relevance for B2B SaaS agentic UI.
