Task Name,Group / Phase,Workstream,Assignee,Start Date,End Date,Timeline,Status,Priority,Description
Horizon Capital Second-Round Meeting & Technical Demo,Pre-Funding Pitching,Finance & Fundraising,"Daniel Roche, Daniel Blokh",2026-05-25,2026-05-25,2026-05-25 -> 2026-05-25,Working on it,Critical,Execute technical deep-dive and AST ingestion demo for Horizon Capital partners (14:00 - 15:00 GMT+3).
Horizon Capital Post-Meeting Diligence Follow-Up,Pre-Funding Pitching,Finance & Fundraising,Daniel Roche,2026-05-25,2026-05-26,2026-05-25 -> 2026-05-26,Not Started,High,"Send follow-up materials, updated deck, forwardable blurb, and portfolio targets to Tom and Yaniv."
On-Premise Deployment Engine (Helm Charts),Phase 1: GTM Prep & Product (M1-M2 | Jun 15 - Jul 31),Product & Tech,Daniel Blokh,2026-07-18,2026-07-24,2026-07-18 -> 2026-07-24,Not Started,High,Develop Helm package and on-prem scripts to bypass enterprise database security concerns.
Write On-Premise Deployment and Compliance Guide,Phase 1: GTM Prep & Product (M1-M2 | Jun 15 - Jul 31),Product & Tech,Daniel Blokh,2026-07-22,2026-07-28,2026-07-22 -> 2026-07-28,Not Started,Medium,Create markdown user manual listing network policies and Docker container security requirements.
Yono V2 Codebase & Core Engine Finalization,Phase 1: GTM Prep & Product (M1-M2 | Jun 15 - Jul 31),Product & Tech,"Daniel Blokh, Senior Dev",2026-07-25,2026-07-31,2026-07-25 -> 2026-07-31,Not Started,Critical,"Hardening the V2 engine code, fixing parser bugs, and stabilizing APIs for pilot deployments."
Silicon Valley & San Francisco In-Person Meetings,Phase 2: US Tour & First Signings (M3 | Aug 1 - Aug 31),Sales & GTM,Daniel Roche,2026-08-01,2026-08-10,2026-08-01 -> 2026-08-10,Not Started,Critical,"Execute SF meetings, present the V2 demo, and negotiate LOI conversions."
New York City In-Person Meetings & Investor Syncs,Phase 2: US Tour & First Signings (M3 | Aug 1 - Aug 31),Sales & GTM,Daniel Roche,2026-08-11,2026-08-20,2026-08-11 -> 2026-08-20,Not Started,Critical,Execute NYC meetings with local DevOps scaleups and hold introductory partner chats.
Process Tour Feedback & Issue Custom Client Proposals,Phase 2: US Tour & First Signings (M3 | Aug 1 - Aug 31),Sales & GTM,Daniel Roche,2026-08-18,2026-08-26,2026-08-18 -> 2026-08-26,Not Started,High,"Consolidate meeting feedback, adjust deployment configurations, and email custom commercial agreements."
Convert SF DevOps Pilot ($100K LOI) to Signed Contract,Phase 2: US Tour & First Signings (M3 | Aug 1 - Aug 31),Sales & GTM,Daniel Roche,2026-08-01,2026-08-12,2026-08-01 -> 2026-08-12,Not Started,Critical,"Finalize legal terms, sign official contract, and issue first yearly advance invoice."
Convert 2 Verbal Agreements ($150K each) to Contracts,Phase 2: US Tour & First Signings (M3 | Aug 1 - Aug 31),Sales & GTM,Daniel Roche,2026-08-01,2026-08-25,2026-08-01 -> 2026-08-25,Not Started,Critical,Execute contracts and collect upfront payments for both verbal target agreements.
Execute Cash Collection & Upfront Invoicing Process,Phase 2: US Tour & First Signings (M3 | Aug 1 - Aug 31),Finance & Fundraising,"Daniel Roche, GM Hire",2026-08-10,2026-08-31,2026-08-10 -> 2026-08-31,Not Started,High,Collect yearly advance payments for August signings to secure negative working capital buffer.
Subscriptions & Feature Flagging System,Phase 2: US Tour & First Signings (M3 | Aug 1 - Aug 31),Product & Tech,Daniel Blokh,2026-07-28,2026-08-03,2026-07-28 -> 2026-08-03,Not Started,Medium,Develop SaaS control plane for managing client subscription tiers and turning features on/off.
Workflow Sandbox Demo Environments,Phase 2: US Tour & First Signings (M3 | Aug 1 - Aug 31),Product & Tech,"Daniel Blokh, Senior Dev",2026-07-28,2026-08-05,2026-07-28 -> 2026-08-05,Not Started,High,"Build live, isolated sandbox demo environments populated with mock datasets for client demos."
Validation Agent vs Real-world Product Testing,Phase 2: US Tour & First Signings (M3 | Aug 1 - Aug 31),Product & Tech,"Daniel Blokh, Senior Dev",2026-08-01,2026-08-15,2026-08-01 -> 2026-08-15,Not Started,Medium,Create verification loops that check Yono parser accuracy against live software outputs.
V2 Delta Sync Engine (Self-Healing Parser),Phase 2: US Tour & First Signings (M3 | Aug 1 - Aug 31),Product & Tech,"Daniel Blokh, Senior Dev",2026-08-05,2026-09-05,2026-08-05 -> 2026-09-05,Not Started,Critical,Build the self-healing codebase mapping system that updates AST map automatically upon UI pushes.
Purchase Outbound Domains & Set Up DNS Records,Phase 3: GTM Scale & Plugins (M4-M6 | Sep 1 - Nov 30),Operations & Hires,GM Hire,2026-09-01,2026-09-05,2026-09-01 -> 2026-09-05,Not Started,High,"Acquire domains (getyono.co, yonoapp.io) and configure SPF, DKIM, and DMARC fields."
Initiate Domain Warm-Up Process,Phase 3: GTM Scale & Plugins (M4-M6 | Sep 1 - Nov 30),Operations & Hires,GM Hire,2026-09-05,2026-09-25,2026-09-05 -> 2026-09-25,Not Started,Medium,Configure automated email warm-up tools to gradually build domain sender score.
Hire and Onboard First GTM / Outbound Sales Rep,Phase 3: GTM Scale & Plugins (M4-M6 | Sep 1 - Nov 30),Operations & Hires,"Daniel Roche, GM Hire",2026-09-01,2026-09-15,2026-09-01 -> 2026-09-15,Not Started,High,Hire first GTM headcount to build out the cold outbound machinery and CRM pipelines.
Custom Workflow Builder development,Phase 3: GTM Scale & Plugins (M4-M6 | Sep 1 - Nov 30),Product & Tech,"Daniel Blokh, Senior Dev",2026-08-21,2026-09-02,2026-08-21 -> 2026-09-02,Not Started,Medium,Build client control dashboard where product managers can customize agent action sequences.
A2A (Agent-to-Agent) Integration Layer,Phase 3: GTM Scale & Plugins (M4-M6 | Sep 1 - Nov 30),Product & Tech,"Daniel Blokh, Senior Dev",2026-09-02,2026-09-09,2026-09-02 -> 2026-09-09,Not Started,High,"Deliver protocol hooks letting external agents (Agentforce, crewAI) run tasks via Yono."
Highlight Navigations UI Feature,Phase 3: GTM Scale & Plugins (M4-M6 | Sep 1 - Nov 30),Product & Tech,Senior Dev,2026-09-07,2026-09-13,2026-09-07 -> 2026-09-13,Not Started,Medium,Develop visual guidance system highlighting layout nodes in real-time as actions execute.
Procure Contact Databases & Setup HubSpot CRM,Phase 3: GTM Scale & Plugins (M4-M6 | Sep 1 - Nov 30),Operations & Hires,"GM Hire, GTM Hire",2026-09-10,2026-09-18,2026-09-10 -> 2026-09-18,Not Started,High,"Setup Apollo/Hubspot configurations, mapping outreach states (e.g. Lead, Inbound Pitch, Demo)."
Extract Outbound Contact Lists Based on ICP Filters,Phase 3: GTM Scale & Plugins (M4-M6 | Sep 1 - Nov 30),Sales & GTM,GTM Hire,2026-09-15,2026-09-22,2026-09-15 -> 2026-09-22,Not Started,Medium,"Filter and extract target profile lists (CTO, VP Engineering, VP Product in DevOps SaaS)."
Draft Outbound Copy & Design LinkedIn/Email Cadences,Phase 3: GTM Scale & Plugins (M4-M6 | Sep 1 - Nov 30),Sales & GTM,"Daniel Roche, GTM Hire",2026-09-18,2026-09-25,2026-09-18 -> 2026-09-25,Not Started,High,"Draft sequences emphasizing ""No Visual DOM Guesswork"" and ""Self-Healing AST parser."""
Hire and Onboard Second Senior Developer,Phase 3: GTM Scale & Plugins (M4-M6 | Sep 1 - Nov 30),Operations & Hires,Daniel Blokh,2026-10-01,2026-10-15,2026-10-01 -> 2026-10-15,Not Started,High,Onboard second backend-focused senior engineer to handle onboarding integrations.
Customer Support Agent integration,Phase 3: GTM Scale & Plugins (M4-M6 | Sep 1 - Nov 30),Product & Tech,Senior Dev 1,2026-09-12,2026-09-24,2026-09-12 -> 2026-09-24,Not Started,Medium,Build support-specific vertical model capable of auto-routing queries to correct UI steps.
Sales Agent integration,Phase 3: GTM Scale & Plugins (M4-M6 | Sep 1 - Nov 30),Product & Tech,Senior Dev 1,2026-09-18,2026-09-27,2026-09-18 -> 2026-09-27,Not Started,Medium,Build sales checkout/onboarding assistant to guide prospect demo environments.
Wix Platform Support Integration,Phase 3: GTM Scale & Plugins (M4-M6 | Sep 1 - Nov 30),Product & Tech,Senior Dev 2,2026-09-27,2026-10-11,2026-09-27 -> 2026-10-11,Not Started,Medium,Deliver Wix app store integration to support automated widget deployment.
Shopify Platform Support Integration,Phase 3: GTM Scale & Plugins (M4-M6 | Sep 1 - Nov 30),Product & Tech,Senior Dev 2,2026-10-08,2026-10-24,2026-10-08 -> 2026-10-24,Not Started,Medium,Deliver Shopify application parser supporting standard e-commerce dashboard schemas.
WordPress Platform Support Integration,Phase 3: GTM Scale & Plugins (M4-M6 | Sep 1 - Nov 30),Product & Tech,Senior Dev 2,2026-10-24,2026-11-02,2026-10-24 -> 2026-11-02,Not Started,Low,Deliver WordPress plugin allowing quick setup of Yono on legacy WP frontends.
Launch DevOps Scaleup Cold Campaign Outbound Machine,Phase 3: GTM Scale & Plugins (M4-M6 | Sep 1 - Nov 30),Sales & GTM,GTM Hire,2026-10-01,2026-11-30,2026-10-01 -> 2026-11-30,Not Started,High,Execute outbound campaigns to secure SMB meetings and reach pipeline goals.
Secure 8 Design Partners ($15K ACV each),Phase 3: GTM Scale & Plugins (M4-M6 | Sep 1 - Nov 30),Sales & GTM,"Daniel Roche, GTM Hire",2026-09-01,2026-11-30,2026-09-01 -> 2026-11-30,Not Started,Critical,Sign 8 design partners to secure early tech validation and initial ACV base.
Hire and Onboard Customer Success Manager,Phase 4: Mid-Market & Seed Prep (M7-M12 | Dec 1 - May 31),Operations & Hires,"Daniel Roche, GM Hire",2026-12-01,2026-12-15,2026-12-01 -> 2026-12-15,Not Started,High,"Hire CSM to handle client onboarding, integrations support, and protect retention rates."
Hire Mid Developer + GTM Outreach Resource,Phase 4: Mid-Market & Seed Prep (M7-M12 | Dec 1 - May 31),Operations & Hires,"Daniel Blokh, Daniel Roche",2026-12-01,2026-12-15,2026-12-01 -> 2026-12-15,Not Started,Medium,Bring in 1 mid dev for QA/onboarding and 1 outreach resource to increase lead volume.
Establish Onboarding Playbooks & CS Scorecards,Phase 4: Mid-Market & Seed Prep (M7-M12 | Dec 1 - May 31),Sales & GTM,CS Hire,2026-12-16,2027-01-10,2026-12-16 -> 2027-01-10,Not Started,High,Draft onboarding guides and setup health dashboards tracking client API errors.
Enterprise Control & Workspace Permissions,Phase 4: Mid-Market & Seed Prep (M7-M12 | Dec 1 - May 31),Product & Tech,Tech Team,2026-12-15,2027-01-31,2026-12-15 -> 2027-01-31,Not Started,Medium,"Deliver admin dashboards, multi-tenant RBAC permissions, and team workspace settings."
Harden Self-Healing Sync Engine for Enterprise Repos,Phase 4: Mid-Market & Seed Prep (M7-M12 | Dec 1 - May 31),Product & Tech,Tech Team,2027-02-01,2027-03-31,2027-02-01 -> 2027-03-31,Not Started,High,"Hardening AST node matching rules for massive repos containing over 50,000 components."
Close 22 SMB Customers ($40K ACV each),Phase 4: Mid-Market & Seed Prep (M7-M12 | Dec 1 - May 31),Sales & GTM,GTM Team,2026-12-01,2027-05-31,2026-12-01 -> 2027-05-31,Not Started,Critical,Scale sales to cross $1.0M ARR bar with 22 SMB accounts paying $40K ACV.
Compile Target Investor List & Group by Priority,Phase 4: Mid-Market & Seed Prep (M7-M12 | Dec 1 - May 31),Fundraising,Daniel Roche,2027-03-15,2027-03-25,2027-03-15 -> 2027-03-25,Not Started,High,"Select 80-100 target Seed VCs/Angels and group them into Tier-1, Tier-2, and Tier-3 categories."
Check Network Overlaps & Draft Forwardable Blurbs,Phase 4: Mid-Market & Seed Prep (M7-M12 | Dec 1 - May 31),Fundraising,Daniel Roche,2027-03-20,2027-03-30,2027-03-20 -> 2027-03-30,Not Started,Medium,Verify mutual connections with targets and prepare copy blurbs to send to connectors.
Build & Structure Virtual Data Room,Phase 4: Mid-Market & Seed Prep (M7-M12 | Dec 1 - May 31),Fundraising,"Daniel Roche, GM Hire",2027-03-25,2027-04-10,2027-03-25 -> 2027-04-10,Not Started,High,"Setup DocSend or Google Drive with cap table, LOIs, contracts, financials, and technical overview docs."
Draft and Design Seed Pitch Deck Presentation,Phase 4: Mid-Market & Seed Prep (M7-M12 | Dec 1 - May 31),Fundraising,Daniel Roche,2027-03-28,2027-04-15,2027-03-28 -> 2027-04-15,Not Started,High,Construct seed round narrative (focusing on the $1.0M ARR milestones and customer validation).
Objection Drilling & Trial Pitch Runs,Phase 4: Mid-Market & Seed Prep (M7-M12 | Dec 1 - May 31),Fundraising,"Daniel Roche, Daniel Blokh",2027-04-10,2027-04-20,2027-04-10 -> 2027-04-20,Not Started,Medium,Run simulated VC pitch sessions and draft an updated objection handler document.
Request Warm Intros & Book Partner Meetings,Phase 4: Mid-Market & Seed Prep (M7-M12 | Dec 1 - May 31),Fundraising,Daniel Roche,2027-04-20,2027-05-10,2027-04-20 -> 2027-05-10,Not Started,High,Send intro requests to existing network connectors and begin scheduling partner meetings.
Setup Investor Kanban Tracking Board,Phase 4: Mid-Market & Seed Prep (M7-M12 | Dec 1 - May 31),Fundraising,GM Hire,2027-04-20,2027-04-25,2027-04-20 -> 2027-04-25,Not Started,Low,"Create board to track VCs at each funnel stage (Intro, Meeting 1, Technical Due Diligence, Partner meeting)."
Execute Partner Pitch Calls & technical Diligence Meetings,Phase 4: Mid-Market & Seed Prep (M7-M12 | Dec 1 - May 31),Fundraising,"Daniel Roche, Daniel Blokh",2027-04-20,2027-05-31,2027-04-20 -> 2027-05-31,Not Started,Critical,"Pitch the Yono model, execute technical walk-throughs, and answer follow-up diligence queries."
Close Seed Round ($3.5M Round Close),Phase 5: Post-Seed Execution (M13-M24 | Jun 1 - May 31),Finance & Fundraising,Daniel Roche,2027-06-01,2027-07-31,2027-06-01 -> 2027-07-31,Not Started,Critical,"Sign term sheets, close round, and transfer $3.5M Seed round funding to bank."
Custom Developer Integration API and SDK,Phase 5: Post-Seed Execution (M13-M24 | Jun 1 - May 31),Product & Tech,Tech Team,2027-06-01,2027-09-30,2027-06-01 -> 2027-09-30,Not Started,High,Publish SDK and custom webhook APIs letting developer teams query and bind AST objects directly.
Hire and Onboard 2 Outbound Sales Reps,Phase 5: Post-Seed Execution (M13-M24 | Jun 1 - May 31),Operations & Hires,"Daniel Roche, GM Hire",2027-08-01,2027-09-15,2027-08-01 -> 2027-09-15,Not Started,High,Hire two outbound AEs/SDRs to scale enterprise outbound and hit expanded quotas.
Scale Outbound Engine to reach $3.35M ARR Target,Phase 5: Post-Seed Execution (M13-M24 | Jun 1 - May 31),Sales & GTM,GTM Team,2027-10-01,2028-04-30,2027-10-01 -> 2028-04-30,Not Started,High,Drive scaling of sales loops into enterprise markets to reach mid-market ARR targets.
Deploy Automated Infrastructure scaling solutions,Phase 5: Post-Seed Execution (M13-M24 | Jun 1 - May 31),Product & Tech,Tech Team,2027-10-01,2028-04-30,2027-10-01 -> 2028-04-30,Not Started,Medium,Deliver autoscaling cloud configurations supporting millions of concurrent API actions.
